,name,mileage,location,trans,price,url,source
0,2O13 Honda Accord Sport Sedan,,Rawlings,,$1500,https://richmond.craigslist.org/cto/d/rawlings-2o13-honda-accord-sport-sedan/7114343347.html,Craigslist
0,2012 Subaru Impreza,"Driven 127,800 miles","Goshen, NY",Automatic transmission,"$4,000",https://www.facebook.com/marketplace/item/204800084082965/,Facebook
